                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                      COMPLEXITY COUNT RESULTS                                      
                              Generated by UCC v.2015.12 on 9 12 2016                              
                UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/"                

Math,Trigonometric,Logarithmic,Calculations,Conditionals,Logical,Preprocessor,Assignment,Pointer,L1-Loops,L2-Loops,L3-Loops,L4-Loops,L5-Loops,File Name
0,0,0,218,338,333,80,619,7,32,12,2,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CUtil.cpp
0,0,0,2,2,4,20,15,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CUtil.h
0,0,0,55,67,48,2,137,37,2,2,2,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVbCounter.cpp
0,0,0,0,0,0,4,2,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVbCounter.h
0,0,0,5,7,5,2,26,8,1,2,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVbscriptCounter.cpp
0,0,0,0,0,0,4,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVbscriptCounter.h
0,0,0,182,169,194,2,413,109,5,4,1,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVerilogCounter.cpp
0,0,0,0,0,0,5,2,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVerilogCounter.h
0,0,0,211,280,323,2,582,160,7,3,2,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVHDLCounter.cpp
0,0,0,0,0,0,4,1,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVHDLCounter.h
0,0,0,232,237,368,5,341,19,10,2,1,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CWebCounter.cpp
0,0,0,1,0,0,4,4,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CWebCounter.h
0,0,0,0,0,0,1,2,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CXMidasCounter.cpp
0,0,0,0,0,0,4,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CXMidasCounter.h
0,0,0,0,0,0,1,2,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CXmlCounter.cpp
0,0,0,0,0,0,4,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CXmlCounter.h
0,0,0,318,239,551,46,402,122,33,8,1,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/DiffTool.cpp
0,0,0,7,0,7,20,5,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/DiffTool.h
0,0,0,94,103,106,9,310,202,13,3,1,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/LangUtils.cpp
0,0,0,8,0,0,42,9,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/LangUtils.h
0,0,0,30,23,22,35,86,0,1,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/main.cpp
0,0,0,445,398,313,99,741,94,14,7,3,1,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/MainObject.cpp
0,0,0,5,2,3,11,43,0,2,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/MainObject.h
0,0,0,2,5,11,15,13,0,3,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/sema.h
0,0,0,0,0,0,11,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCAfterLibraryIncludes.h
0,0,0,0,0,0,6,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCBeforeLibraryIncludes.h
0,0,0,169,139,78,75,265,30,3,3,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCExceptDump.cpp
0,0,0,3,0,0,22,13,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCExceptDump.h
0,0,0,7396,1365,9868,24,1830,2007,30,39,7,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCFilesOut.cpp
0,0,0,2,2,2,14,49,0,2,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCFilesOut.h
0,0,0,0,0,0,6,28,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCGlobals.cpp
0,0,0,0,0,0,12,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCGlobals.h
0,0,0,401,450,425,152,1137,395,25,20,3,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCThread.cpp
0,0,0,17,2,0,25,32,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCThread.h
0,0,0,31,52,55,15,57,0,4,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UserIF.cpp
0,0,0,0,1,0,12,13,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UserIF.h
2,0,0,0,4,4,25,1,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/cs402.h
1,0,0,23,49,41,6,51,14,11,3,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/listtest.c
0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/Makefile
0,0,0,1,23,14,4,69,70,2,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/my402list.c
0,0,0,18,0,0,4,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/my402list.h
0,0,0,36,75,56,9,115,16,11,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/warmup1.c
0,0,0,28,36,33,11,110,79,3,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup2/warmup2.c

Totals
269,6,0,14366,10752,17186,1298,16931,5742

                            TOTAL OCCURRENCES OF C_CPP COMPLEXITY COUNTS                            
Math Functions,,Trigonometric,,Logarithmic,,Calculations,,Conditionals,,Logical,,Preprocessor,,Assignment,,Pointer
abs,0,cos,0,log,0,%,12,case,265,&&,750,#define,221,=,14697,->,5404
cbrt,0,cosh,0,log10,0,^,0,else,1377,||,643,#dictionary,0,,
ceil,0,sin,0,log1p,0,++,240,else if,415,==,1700,#elif,3,,
copysign,0,sinh,0,log2,0,+,6251,for,514,!,1397,#else,88,,
erf,0,tan,0,logb,0,--,0,if,4501,>,906,#endif,289,,
erfc,0,tanh,0,,,-,788,switch,48,<,10981,#error,1,,
exp,0,acos,0,,,*,389,while,172,>=,131,#if,21,,
exp2,0,acosh,0,,,/,49,?,30,=<,0,#ifdef,185,,
expm1,0,asinh,0,,,>>,8,,,,,#ifndef,83,,
fabs,0,atanh,0,,,<<,5208,,,,,#import,0,,
fdim,0,asin,0,,,,,,,,,#include,386,,
floor,0,atan,0,,,,,,,,,#line,0,,
fma,0,atan2,0,,,,,,,,,#module,0,,
fmax,0,,,,,,,,,,,#pragma,14,,
fmin,0,,,,,,,,,,,#undef,7,,
fmod,0,,,,,,,,,,,#using,0,,
frexp,0,,,,,,,,,,,,,,
hypot,0,,,,,,,,,,,,,,
ilogb,0,,,,,,,,,,,,,,
ldexp,0,,,,,,,,,,,,,,
lgamma,0,,,,,,,,,,,,,,
llrint,0,,,,,,,,,,,,,,
lrint,0,,,,,,,,,,,,,,
llround,0,,,,,,,,,,,,,,
lround,0,,,,,,,,,,,,,,
modf,0,,,,,,,,,,,,,,
nan,0,,,,,,,,,,,,,,
nearbyint,0,,,,,,,,,,,,,,
nextafter,0,,,,,,,,,,,,,,
nexttoward,0,,,,,,,,,,,,,,
pow,0,,,,,,,,,,,,,,
remainder,0,,,,,,,,,,,,,,
remquo,0,,,,,,,,,,,,,,
rint,0,,,,,,,,,,,,,,
round,3,,,,,,,,,,,,,,
scalbln,0,,,,,,,,,,,,,,
scalbn,0,,,,,,,,,,,,,,
sqrt,0,,,,,,,,,,,,,,
tgamma,0,,,,,,,,,,,,,,
trunc,0,,,,,,,,,,,,,,

                             TOTAL OCCURRENCES OF IDL COMPLEXITY COUNTS                             
Math Functions,,Trigonometric,,Logarithmic,,Calculations,,Conditionals,,Logical,,Preprocessor,,Assignment,,Pointer
abs,0,acos,0,alog,0,mod,0,case,0,&&,0,@,0,=,22,->,0
exp,0,asin,0,alog10,0,^,0,else,0,||,0,,,,,.,338
factorial,0,atan,0,,,++,0,for,3,~,0,,,,
fft,0,cos,0,,,+,12,foreach,0,and,0,,,,
fix,0,cosh,0,,,--,0,if,0,not,0,,,,
float,0,sin,0,,,-,0,repeat,0,or,0,,,,
max,0,sinh,0,,,*,0,switch,0,xor,0,,,,
mean,0,tan,0,,,/,0,while,0,>,0,,,,
min,0,tanh,0,,,#,2,,,<,0,,,,
primes,0,,,,,##,0,,,lt,0,,,,
randomu,0,,,,,,,,,gt,0,,,,
round,0,,,,,,,,,ge,0,,,,
