                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                      COMPLEXITY COUNT RESULTS                                      
                              Generated by UCC v.2015.12 on 9 12 2016                              
                UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/"                

Math,Trigonometric,Logarithmic,Calculations,Conditionals,Logical,Preprocessor,Assignment,Pointer,L1-Loops,L2-Loops,L3-Loops,L4-Loops,L5-Loops,File Name
0,0,0,401,449,423,150,1134,395,25,20,3,0,0,src/UCCThread.cpp
0,0,0,17,2,0,26,32,0,0,0,0,0,0,src/UCCThread.h
0,0,0,31,52,55,15,57,0,4,0,0,0,0,src/UserIF.cpp
0,0,0,0,1,0,12,13,0,0,0,0,0,0,src/UserIF.h

Totals
0,0,0,12559,6802,16040,1095,13946,4792

                            TOTAL OCCURRENCES OF C_CPP COMPLEXITY COUNTS                            
Math Functions,,Trigonometric,,Logarithmic,,Calculations,,Conditionals,,Logical,,Preprocessor,,Assignment,,Pointer
abs,0,cos,0,log,0,%,10,case,254,&&,731,#define,192,=,13946,->,4792
cbrt,0,cosh,0,log10,0,^,0,else,1286,||,638,#dictionary,0,,
ceil,0,sin,0,log1p,0,++,240,else if,386,==,1617,#elif,2,,
copysign,0,sinh,0,log2,0,+,6080,for,464,!,1366,#else,83,,
erf,0,tan,0,logb,0,--,0,if,4190,>,828,#endif,250,,
erfc,0,tanh,0,,,-,729,switch,46,<,10748,#error,1,,
exp,0,acos,0,,,*,323,while,152,>=,112,#if,18,,
exp2,0,acosh,0,,,/,46,?,24,=<,0,#ifdef,166,,
expm1,0,asinh,0,,,>>,8,,,,,#ifndef,66,,
fabs,0,atanh,0,,,<<,5123,,,,,#import,0,,
fdim,0,asin,0,,,,,,,,,#include,296,,
floor,0,atan,0,,,,,,,,,#line,0,,
fma,0,atan2,0,,,,,,,,,#module,0,,
fmax,0,,,,,,,,,,,#pragma,14,,
fmin,0,,,,,,,,,,,#undef,7,,
fmod,0,,,,,,,,,,,#using,0,,
frexp,0,,,,,,,,,,,,,,
hypot,0,,,,,,,,,,,,,,
ilogb,0,,,,,,,,,,,,,,
ldexp,0,,,,,,,,,,,,,,
lgamma,0,,,,,,,,,,,,,,
llrint,0,,,,,,,,,,,,,,
lrint,0,,,,,,,,,,,,,,
llround,0,,,,,,,,,,,,,,
lround,0,,,,,,,,,,,,,,
modf,0,,,,,,,,,,,,,,
nan,0,,,,,,,,,,,,,,
nearbyint,0,,,,,,,,,,,,,,
nextafter,0,,,,,,,,,,,,,,
nexttoward,0,,,,,,,,,,,,,,
pow,0,,,,,,,,,,,,,,
remainder,0,,,,,,,,,,,,,,
remquo,0,,,,,,,,,,,,,,
rint,0,,,,,,,,,,,,,,
round,0,,,,,,,,,,,,,,
scalbln,0,,,,,,,,,,,,,,
scalbn,0,,,,,,,,,,,,,,
sqrt,0,,,,,,,,,,,,,,
tgamma,0,,,,,,,,,,,,,,
trunc,0,,,,,,,,,,,,,,
