                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                  SOURCE CODE DIFFERENTIAL RESULTS                                  
                              Generated by UCC v.2015.12 on 9 12 2016                              
                UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/"                

New Lines,Deleted Lines,Modified Lines,Unmodified Lines,Modification Type,Language,Module A,Module B
0,0,0,124,Unmod,"C_CPP","src/MainObject.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/MainObject.h"
0,1,0,56,Mod,"C_CPP","src/sema.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/sema.h"
0,0,0,11,Unmod,"C_CPP","src/UCCAfterLibraryIncludes.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCAfterLibraryIncludes.h"
0,0,0,6,Unmod,"C_CPP","src/UCCBeforeLibraryIncludes.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCBeforeLibraryIncludes.h"
34,8,6,491,Mod,"C_CPP","src/UCCExceptDump.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCExceptDump.cpp"
0,7,0,27,Mod,"C_CPP","src/UCCExceptDump.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCExceptDump.h"
0,0,0,6911,Unmod,"C_CPP","src/UCCFilesOut.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCFilesOut.cpp"
0,0,0,99,Unmod,"C_CPP","src/UCCFilesOut.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCFilesOut.h"
0,0,0,49,Unmod,"C_CPP","src/UCCGlobals.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCGlobals.cpp"
0,0,0,51,Unmod,"C_CPP","src/UCCGlobals.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCGlobals.h"
5,3,2,1827,Mod,"C_CPP","src/UCCThread.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCThread.cpp"
0,1,0,77,Mod,"C_CPP","src/UCCThread.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCThread.h"
0,0,0,162,Unmod,"C_CPP","src/UserIF.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/UserIF.cpp"
0,0,0,40,Unmod,"C_CPP","src/UserIF.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/UserIF.h"
1,0,0,0,Add,"Python","NA","/Users/rishabhsharma/Downloads/GENERAL UCC// hello-world/main.py"
9,0,0,0,Add,"Python","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//breakTime.py"
2,0,0,0,Add,"Python","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//engineapp/main.py"
3156,0,0,0,Add,"HTML","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF.html"
1118,0,0,0,Add,"JavaScript","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js"
217,0,0,0,Add,"JavaScript","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/compatibility.js"
148,0,0,0,Add,"JavaScript","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/debugger.js"
81,0,0,0,Add,"JavaScript","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/jquery.min.js"
506,0,0,0,Add,"JavaScript","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/l10n.js"
95,0,0,0,Add,"CSS","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/main.css"
4306,0,0,0,Add,"JavaScript","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js"
581,0,0,0,Add,"CSS","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pure-min.css"
4,0,0,0,Add,"HTML","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/saved_resource.html"
686,0,0,0,Add,"JavaScript","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/service(1).js"
117,0,0,0,Add,"JavaScript","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/service.js"
8851,0,0,0,Add,"CSS","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/sumome-share-client.css"
1255,0,0,0,Add,"CSS","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.css"
2630,0,0,0,Add,"JavaScript","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.js"
32,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GAsciiDialog.cpp"
11,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GAsciiDialog.h"
177,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.cpp"
24,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.h"
11,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GFileOpenMenu.cpp"
9,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GFileOpenMenu.h"
889,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GMainWindow.cpp"
71,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GMainWindow.h"
20,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GSideBySideDialog.cpp"
12,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GSideBySideDialog.h"
61,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GTableDialog.cpp"
11,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GTableDialog.h"
153,0,0,0,Add,"IDL","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/gucc.pro"
19,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GUtil.cpp"
6,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/GUtil.h"
7,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/Qt_main.cpp"
16,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/UCCWorker.cpp"
15,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//gui/UCCWorker.h"
10,0,0,0,Add,"Makefile","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//Makefile"
17,0,0,0,Add,"Python","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//mindstorms.py"
3,0,0,0,Add,"HTML","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//play.html"
1,0,0,0,Add,"Python","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//sendmessage.py"
4,0,0,0,Add,"HTML","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//shopping_list.html"
18,0,0,0,Add,"Python","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//shoppinglist/main.py"
6,0,0,0,Add,"HTML","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//shoppinglist/templates2/basic.html"
11,0,0,0,Add,"HTML","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//shoppinglist/templates2/shopping_list.html"
25,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/cs402.h"
201,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/listtest.c"
8,0,0,0,Add,"Makefile","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/Makefile"
97,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/my402list.c"
40,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/my402list.h"
234,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/warmup1.c"
242,0,0,0,Add,"C_CPP","NA","/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup2/warmup2.c"

Total New Lines,Total Deleted Lines,Total Modified Lines,Total Unmodified Lines
26282,27,38,29953
