                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2015.12 on 9 12 2016                              
             UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/" -ascii             

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
 Total_CC1 Total_CC2 Total_CC3 Average_CC1  Risk        |   Name
        78          108           78   Very High   main                                                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/service.js
        98          109           94   Very High   return!t.call                                                  |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/service.js
       124          165          122   Very High   width:600,height:500,background:"$$$$$$$",color:"$$$$"},googlemail:name:"$$$$$$",url:"$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$",width:450,height:450,background:"$$$$$$$",color:"$$$$",priority:88},twitter:if   |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/service.js
        39           48           39   High        var p                                                          |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/service.js
       675          689          613   Very High   main                                                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.js
         1            1            1   Low         '$$$$$$$$$$';var DEFAULT_SCALE_DELTA                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.js
        12           12           12   Medium      getPDFFileNameFromURL                                          |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.js
         1            1            1   Low         DownloadManager                                                |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.js
         5            5            5   Low         this.opened                                                    |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.js
         1            2            1   Low         if                                                             |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.js
         2            2            2   Low         DefaultAnnotationsLayerFactory                                 |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.js
         4            4            4   Low         PDFJS.disableFontFace                                          |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.js
         3            3            3   Low         getDataSuccess                                                 |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.js
         6            6            6   Low         this.loadingBar.show                                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.js
         2            2            2   Low         pdfViewParseQueryString                                        |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.js
         5            5            5   Low         var location                                                   |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/viewer.js
         5            5            5   Low         :QDialog                                                       |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GAsciiDialog.cpp
         2            2            2   Low         void GAsciiDialog::on_cboResultsSelect_currentIndexChanged     |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GAsciiDialog.cpp
         1            1            1   Low         :QDialog                                                       |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.cpp
         1            1            1   Low         GExtensionDialog::~GExtensionDialog                            |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.cpp
         9            9            9   Low         void GExtensionDialog::languageSelected                        |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.cpp
         5            5            5   Low         void GExtensionDialog::updateCustomExtensions                  |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.cpp
         1            1            1   Low         void GExtensionDialog::itemCustomContextMenuRequested          |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.cpp
         3            3            3   Low         void GExtensionDialog::revertSelLangExt                        |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.cpp
         5            5            5   Low         void GExtensionDialog::revertAllLangExt                        |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.cpp
         8            9            8   Low         void GExtensionDialog::on_btnAddExt_clicked                    |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.cpp
         3            4            3   Low         void GExtensionDialog::on_btnRemoveExt_clicked                 |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.cpp
         1            1            1   Low         void GExtensionDialog::on_btnClose_clicked                     |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.cpp
         3            3            3   Low         void GExtensionDialog::closeEvent                              |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GExtensionDialog.cpp
         2            2            2   Low         :QDialog                                                       |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GFileOpenMenu.cpp
         2            2            2   Low         :QMainWindow                                                   |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GMainWindow.cpp
         3            3            3   Low         GMainWindow::~GMainWindow                                      |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GMainWindow.cpp
        67           72           67   Very High   void GMainWindow::on_btnStart_clicked                          |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GMainWindow.cpp
         1            1            1   Low         void GMainWindow::on_btnStop_clicked                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GMainWindow.cpp
         1            1            1   Low         void GMainWindow::executionRunning                             |   /Users/rishabhsharma/Downloads/GENERAL UCC//gui/GMainWindow.cpp
