                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                              Generated by UCC v.2015.12 on 9 12 2016                              
                UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/"                

                                      RESULTS FOR C_CPP FILES                                      

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
62,10,18,3,4,14,4,22,34,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVHDLCounter.h
1183,78,133,8,5,91,589,685,972,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CWebCounter.cpp
110,17,20,49,4,39,25,68,73,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CWebCounter.h
57,8,9,0,1,0,37,38,40,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CXMidasCounter.cpp
37,7,18,2,4,1,3,8,12,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CXMidasCounter.h
22,4,9,0,1,0,6,7,9,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CXmlCounter.cpp
37,7,18,2,4,1,3,8,12,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CXmlCounter.h
2113,240,539,101,46,68,802,916,1334,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/DiffTool.cpp
192,28,80,25,20,31,20,71,84,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/DiffTool.h
1000,145,189,76,9,80,400,489,666,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/LangUtils.cpp
162,20,58,8,42,15,10,67,84,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/LangUtils.h
382,46,95,25,35,22,126,183,241,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/main.cpp
2661,250,719,154,99,122,957,1178,1692,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/MainObject.cpp
259,35,79,58,11,65,48,124,145,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/MainObject.h
236,48,85,1,15,1,40,56,103,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/sema.h
45,6,28,5,11,0,0,11,11,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCAfterLibraryIncludes.h
77,3,68,3,6,0,0,6,6,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCBeforeLibraryIncludes.h
1409,218,447,25,75,88,368,531,744,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCExceptDump.cpp
81,13,31,7,22,5,0,27,37,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCExceptDump.h
8660,522,418,297,24,82,6805,6911,7720,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCFilesOut.cpp
202,27,53,36,14,44,41,99,122,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCFilesOut.h
128,35,44,25,6,24,19,49,49,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCGlobals.cpp
126,36,39,22,12,39,0,51,51,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCGlobals.h
4759,598,1090,237,152,221,1461,1834,3071,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCThread.cpp
320,27,131,10,25,24,28,77,162,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCThread.h
394,38,107,11,15,20,127,162,249,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UserIF.cpp
117,27,37,12,12,18,10,40,53,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//src/UserIF.h
49,9,15,8,25,0,0,25,25,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/cs402.h
381,58,33,0,6,25,170,201,290,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/listtest.c
202,26,40,0,3,0,94,97,136,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/my402list.c
71,15,16,1,4,27,9,40,40,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/my402list.h
404,62,38,0,9,28,197,234,304,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/warmup1.c
383,69,22,0,11,32,199,242,292,CODE,/Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup2/warmup2.c

                                          RESULTS SUMMARY                                          

Total,Blank,Comments,,Compiler,Data,Exec.,,File,SLOC
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,Type,Definition
61548,6222,11712,2406,1372,3344,38898,43614,CODE,Physical
61548,6222,11712,2406,1297,2741,28241,32279,CODE,Logical

Number of files successfully accessed,127,out of,127

Ratio of Physical to Logical SLOC,    1.35

                                TOTAL OCCURRENCES OF C_CPP KEYWORDS                                
Compiler Directives,,Data Keywords,,Executable Keywords
#define,221,asm,0,break,469
#dictionary,0,auto,0,case,265
#error,1,bool,917,catch,43
#if,21,char,156,cerr,0
#ifdef,185,class,91,cin,0
#ifndef,83,const,554,clog,0
#else,88,double,39,const_cast,0
#elif,3,enum,9,continue,231
#endif,289,explicit,1,cout,96
#import,0,extern,95,default,33
#include,386,FILE,6,delete,34
#line,0,float,7,do,10
#module,0,friend,0,dynamic_cast,0
#pragma,14,inline,0,else,1289
#undef,7,int,1619,entry,0
#using,0,long,147,for,514
# define,0,mutable,0,goto,3
# dictionary,0,namespace,16,if,4480
# error,0,operator,66,new,98
# if,0,register,0,reinterpret_cast,0
# ifdef,0,short,0,return,641
# ifndef,0,static,55,sizeof,80
# else,0,string,1395,stderr,16
# elif,0,struct,62,stdin,1
# endif,0,template,0,stdout,23
# import,0,typedef,35,switch,48
# include,0,union,0,static_cast,13
# line,0,unsigned,964,throw,0
# module,0,using,21,try,5
# pragma,0,virtual,91,typeid,0
# undef,0,void,394,while,172
# using,0,volatile,6,
,,wchar_t,0,
